Job Title,Department,Service Area,Annual Salary
"Sr Inspector, Construction",Ut Enviro Regulatory Affairs,Utility Services,58487.52
Firefighter Intro - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,58448
Firefighter Intro - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,58448
Firefighter Intro - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,58448
Firefighter Intro - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,58448
Firefighter Intro - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,58448
Firefighter Intro - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,58448
Firefighter Intro - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,58448
Firefighter Intro - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,58448
"Analyst II, Finance",Natural Areas,Community Services,58419.17
"Technician I, Fiber",Broadband,Utility Services,58406.4
"Supervisor, Administration",Recreation,Community Services,58242.35
"Lead Technician, Sciences",Utilities Customer Connections,Utility Services,58225.82
Planning & Data Analyst,Poudre Fire Authority,Poudre Fire Authority,58209.58
"Supervisor, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",58161.59
"Officer II, Enforcement",Transfort / Parking Services,"Planning, Dev & Transportation",58145.65
Interlibrary Loan Coordinator,Library District,Library District,58113.47
"Locator, Elec Dist - Field Ops",L&P Electric Field Services,Utility Services,58084.74
"Sr Inspector, Construction",Streets,"Planning, Dev & Transportation",58071.1
Paralegal,City Attorney's Office,Legal Services,57968.78
Paralegal,City Attorney's Office,Legal Services,57953.06
Bibliographic Services Spec,Library District,Library District,57918.68
Bibliographic Services Spec,Library District,Library District,57918.68
Circulation Supervisor,Library District,Library District,57903.62
Librarian I,Library District,Library District,57697.6
"Technician II, Facilities",Operation Services,Information & Employee Svcs,57688.23
"Specialist, Public Engagement",Transfort / Parking Services,"Planning, Dev & Transportation",57680.1
"Technician II, Police Records",Police Information Services,Police Services,57680.1
Paralegal,City Attorney's Office,Legal Services,57538.4
Librarian I,Library District,Library District,57507.88
"Technician II, Natural Areas",Natural Areas,Community Services,57407.18
Emergency Commun Dispatcher,Police Information Services,Police Services,57402
Emergency Commun Dispatcher,Police Information Services,Police Services,57402
Emergency Commun Dispatcher,Police Information Services,Police Services,57402
Emergency Commun Dispatcher,Police Information Services,Police Services,57402
"Operator II, Transportation Op",Streets,"Planning, Dev & Transportation",57365.8
"Supervisor, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",57362.76
"Planner, Environmental",Natural Areas,Community Services,57327.3
"Specialist, City Planning",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",57324.2
Computer Support Technician,Library District,Library District,57308.47
"Specialist, Active Modes",FC Moves,"Planning, Dev & Transportation",57200
"Locator, Elec Dist - Field Ops",L&P Electric Field Services,Utility Services,57162.94
"Operator II, Transportation Op",Streets,"Planning, Dev & Transportation",57110.2
"Locator, Elec Dist - Field Ops",L&P Electric Field Services,Utility Services,57024.53
"Locator, Elec Dist - Field Ops",L&P Electric Field Services,Utility Services,57024.53
"Lead Rep, Customer Support",Utilities Customer Connections,Utility Services,57014.48
"Rep II, Police Records",Police Information Services,Police Services,57002.86
"Technician II, Facilities",Operation Services,Information & Employee Svcs,57000.06
"Technician II, Facilities",Operation Services,Information & Employee Svcs,56928.82
"Lead Rep, Customer Support",Broadband,Utility Services,56875.78
Deputy City Clerk,City Clerk's Office,Executive Services,56845.1
Executive Admin Assistant,Sustainability Services Admin,Sustainability Services,56831.99
Accounts Payable Rep,Poudre Fire Authority,Poudre Fire Authority,56809.22
"Officer II, Enforcement",Transfort / Parking Services,"Planning, Dev & Transportation",56773.6
Project Analyst,Utilities Customer Connections,Utility Services,56716.96
"Technician II, Fiber",Broadband,Utility Services,56649.88
"Technician II, Fiber",Broadband,Utility Services,56649.88
Deputy City Clerk,City Clerk's Office,Executive Services,56649.84
Water Meter Systems Operator,Ut Water Meters Div,Utility Services,56484
Water Meter Technician,Ut Water Meters Div,Utility Services,56484
Water Utility Maint Operator,Ut Drainage System Div,Utility Services,56484
Water Utility Maint Operator,Ut Distribution System Div,Utility Services,56484
Water Utility Maint Operator,Ut Drainage System Div,Utility Services,56484
Water Utility Maint Operator,Ut Collection System Div,Utility Services,56484
"Crew Chief, Parks",Parks,Community Services,56477.48
Civil Engineer III,Ut Water UTL Engineering Div,Utility Services,56470.32
"Technician I, Parks",Parks,Community Services,56425.74
"Sr Coord, Sales Tax Audit Rev",Sales Tax,Financial Services,56388.28
Librarian I,Library District,Library District,56374.95
"Crew Chief, Parks",Parks,Community Services,56360.2
Project Analyst,Utilities Customer Connections,Utility Services,56327.08
Business Support III,Patrol,Police Services,56292.92
Business Support III,Police Information Services,Police Services,56292.92
Administrative Secretary II,Poudre Fire Authority,Poudre Fire Authority,56291.82
Project Analyst,Utilities Customer Connections,Utility Services,56258.48
"Sr Coordinator, Public Engage",Cultural Services,Community Services,56238
"Technician I, Bldg Dev Review",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",56180.17
"Lead Coord, Communications",Comm. & Public Involvement,Information & Employee Svcs,56160
"Supervisor, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",56159.92
"Supervisor, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",56159.92
"Supervisor, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",56159.92
Business Support III,Police Administration,Police Services,56156.62
Librarian II,Library District,Library District,56138.44
"Coordinator, AR / Billing",Utility Financial Operations,Utility Services,56024.02
"Locator, Elec Dist - Field Ops",L&P Electric Field Services,Utility Services,56015.46
Buyer I,Purchasing,Financial Services,55890.08
"Coordinator, AR / Billing",Utilities Customer Connections,Utility Services,55884.01
"Sr Coordinator, AP",Accounting and Treasury,Financial Services,55866.38
Business Support III,Ut Wtr Reclama & Biosolids Div,Utility Services,55748.38
"Tech II, Processing Support",Investigations,Police Services,55726.05
"Sr Coordinator, Public Engage",Cultural Services,Community Services,55702.4
Business Support III,Ut Water Production Div,Utility Services,55693.08
"Sr Coordinator, Public Engage",Cultural Services,Community Services,55685.49
"Lead Tech, Graphic Design",Cultural Services,Community Services,55639.74
"Rep II, Police Records",Police Information Services,Police Services,55612.54
"Rep II, Police Records",Police Information Services,Police Services,55612.54
"Tech II, Processing Support",Investigations,Police Services,55612.44
"Tech II, Processing Support",Investigations,Police Services,55480.94
Business Support III,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",55389.34
Business Support III,Ut Enviro Regulatory Affairs,Utility Services,55355.71
"Operator II, Transportation Op",Streets,"Planning, Dev & Transportation",55317.69
Business Support III,Special Operations,Police Services,55273.43
"Technician I, Parks",Parks,Community Services,55264.65
"Sr Coordinator, Wellness",Human Resources,Information & Employee Svcs,55213.2
"Technician II, Client Services",Information Technology,Information & Employee Svcs,55161.6
"Sr Coord, Sales Tax Audit Rev",Sales Tax,Financial Services,55120
Project Manager,Utilities Customer Connections,Utility Services,55000
"Sr Technician, Network Engr",Broadband,Utility Services,55000
"Sr Technician, Network Engr",Broadband,Utility Services,55000
"Lead Tech, Graphic Design",Comm. & Public Involvement,Information & Employee Svcs,54999.88
"Technician II, Facilities",Operation Services,Information & Employee Svcs,54949.66
Mechanic,Operation Services,Information & Employee Svcs,54779
"Sr Coordinator, Recreation",Recreation,Community Services,54684.89
"Sr Coordinator, Recreation",Recreation,Community Services,54668.64
Librarian I,Library District,Library District,54637.18
"Sr Coordinator, Forestry",Parks,Community Services,54629.52
"Officer II, Enforcement",Transfort / Parking Services,"Planning, Dev & Transportation",54615.13
"Operator II, Transportation Op",Streets,"Planning, Dev & Transportation",54552.08
Electrical Engineer III,L&P Operations & Technology,Utility Services,54455.5
"Sr Coordinator, Recreation",Recreation,Community Services,54450.83
Administrative Secretary II,Poudre Fire Authority,Poudre Fire Authority,54362.88
Line Groundworker,L&P Electric Field Services,Utility Services,54261
"Operator II, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",54208.72
Librarian I,Library District,Library District,54206.62
Librarian I,Library District,Library District,54201.68
Librarian I,Library District,Library District,54165.23
"Sr Coordinator, Recreation",Recreation,Community Services,54161.67
"Technician II, Client Services",Information Technology,Information & Employee Svcs,54080
Library Assistant,Library District,Library District,54080
"Rep II, Police Records",Police Information Services,Police Services,54035.89
"Technician II, Facilities",Operation Services,Information & Employee Svcs,54011.47
"Technician II, Police Records",Police Information Services,Police Services,54000.18
Court Security Officer,Municipal Court,Judicial Services,54000
"Rep II, Police Records",Police Information Services,Police Services,53992.76
"Rep II, Police Records",Police Information Services,Police Services,53992.76
"Rep II, Police Records",Police Information Services,Police Services,53992.76
"Tech II, Processing Support",Investigations,Police Services,53992.76
"Technician II, Facilities",Operation Services,Information & Employee Svcs,53933
Business Support III,Engineering,"Planning, Dev & Transportation",53910.08
Plant Operator,Ut Wtr Reclama & Biosolids Div,Utility Services,53850
Project Analyst,Utilities Customer Connections,Utility Services,53816.41
"Coordinator, Payroll",Accounting and Treasury,Financial Services,53774.24
Circulation Supervisor,Library District,Library District,53705.34
Business Support III,Information Technology,Information & Employee Svcs,53668.86
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",53636.98
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",53636.98
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",53636.98
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",53636.98
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",53636.98
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",53636.75
"Operator II, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",53630.63
"Operator II, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",53563.48
"Sr Coordinator, Accounting",Accounting and Treasury,Financial Services,53545.96
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",53506.8
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",53506.8
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",53506.8
"Technician II, Civil Engr",Engineering,"Planning, Dev & Transportation",53499.94
"Operator II, Transportation Op",Streets,"Planning, Dev & Transportation",53474.3
Water Meter Systems Operator,Ut Water Meters Div,Utility Services,53279
Water Meter Systems Operator,Ut Water Meters Div,Utility Services,53279
Water Utility Maint Operator,Ut Collection System Div,Utility Services,53279
Water Utility Maint Operator,Ut Distribution System Div,Utility Services,53279
Water Utility Maint Operator,Ut Collection System Div,Utility Services,53279
Water Utility Maint Operator,Ut Distribution System Div,Utility Services,53279
Water Utility Maint Operator,Ut Collection System Div,Utility Services,53279
Water Utility Maint Operator,Ut Collection System Div,Utility Services,53279
Water Utility Maint Operator,Ut Distribution System Div,Utility Services,53279
Water Utility Maint Operator,Ut Drainage System Div,Utility Services,53279
"Technician II, Forestry",Parks,Community Services,53151.09
Bibliographic Services Spec,Library District,Library District,53009.98
Business Support III,Utilities Customer Connections,Utility Services,53000
"Sr Technician, Network Engr",Broadband,Utility Services,53000
"Technician II, Facilities",Operation Services,Information & Employee Svcs,52998.04
"Sr Coordinator, Recreation",Recreation,Community Services,52993.5
Business Support III,Utilities Customer Connections,Utility Services,52978.55
"Operator II, Transportation Op",Traffic,"Planning, Dev & Transportation",52859.19
"Operator II, Transportation Op",Traffic,"Planning, Dev & Transportation",52835.85
"Inspector, Code Compliance",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",52757.1
"Locator, Elec Dist - Field Ops",L&P Electric Field Services,Utility Services,52752
"Locator, Elec Dist - Field Ops",L&P Electric Field Services,Utility Services,52752
"Locator, Elec Dist - Field Ops",L&P Electric Field Services,Utility Services,52752
"Locator, Elec Dist - Field Ops",L&P Electric Field Services,Utility Services,52752
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",52726.92
"Sr Coordinator, Public Engage",City Clerk's Office,Executive Services,52529.88
"Sr Coordinator, Communications",Recreation,Community Services,52529.77
"Rep II, Police Records",Police Information Services,Police Services,52420.16
"Worker II, Fleet",Operation Services,Information & Employee Svcs,52328.62
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",52270.28
"Operator I, Transportation Ops",Streets,"Planning, Dev & Transportation",52174.14
"Sr Technician, Video Prod",Comm. & Public Involvement,Information & Employee Svcs,52162.08
"Technician I, Natural Areas",Natural Areas,Community Services,52109.6
Business Support III,Police Administration,Police Services,52066.45
"Sr Coordinator, Communications",Recreation,Community Services,52024.7
"Technician I, Fiber",Broadband,Utility Services,52000
"Technician I, Natural Areas",Natural Areas,Community Services,51954.66
"Sr Coordinator, Communications",Comm. & Public Involvement,Information & Employee Svcs,51940.13
"Tech II, Transportation Ops",Traffic,"Planning, Dev & Transportation",51936.28
"Technician II, Forestry",Parks,Community Services,51908.77
"Worker II, Fleet",Operation Services,Information & Employee Svcs,51803.23
"Inspector, Code Compliance",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",51722.6
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",51663.39
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",51662.77
"Sr Coordinator, Recreation",Recreation,Community Services,51628.84
"Technician II, Client Services",Recreation,Community Services,51627.99
"Technician I, Parks",Recreation,Community Services,51579.7
"Sr Coordinator, Recreation",Recreation,Community Services,51565.38
"Sr Technician, Water Field Ops",Ut Water Meters Div,Utility Services,51535.9
"Technician II, Video Prod",Comm. & Public Involvement,Information & Employee Svcs,51505.59
Emergency Commun Dispatcher,Police Information Services,Police Services,51481
"Technician I, Natural Areas",Natural Areas,Community Services,51456.7
"Coordinator, Cultural Services",Cultural Services,Community Services,51417.6
"Technician II, Sciences",Utilities Customer Connections,Utility Services,51417.6
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",51410.06
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",51386.98
"Technician II, Forestry",Parks,Community Services,51363.32
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",51330.08
"Coordinator, HRIS",Human Resources,Information & Employee Svcs,51132.12
Legal Assistant,City Attorney's Office,Legal Services,51094.53
"Coordinator, Finance",Operation Services,Information & Employee Svcs,51051.57
"Coordinator, Communications",Utilities Customer Connections,Utility Services,51035.57
"Technician I, Parks",Parks,Community Services,51032.29
"Coordinator, Public Engagement",Cultural Services,Community Services,51000.04
"Officer I, Enforcement",Transfort / Parking Services,"Planning, Dev & Transportation",50974.32
"Technician II, Graphic Design",Comm. & Public Involvement,Information & Employee Svcs,50960
"Operator II, Transportation Op",Streets,"Planning, Dev & Transportation",50960
"Inspector, Code Compliance",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",50929.58
"Sr Coordinator, Benefits",Human Resources,Information & Employee Svcs,50882
Business Support II,Investigations,Police Services,50879.31
"Sr Coordinator, Cultural Svcs",Cultural Services,Community Services,50875.19
Business Support II,Utilities Management,Utility Services,50803.75
"Specialist, Public Engagement",Utilities Customer Connections,Utility Services,50767.34
"Specialist, Public Engagement",Utilities Customer Connections,Utility Services,50767.34
"Coordinator, AR / Billing",Utilities Customer Connections,Utility Services,50678.41
Business Support III,Investigations,Police Services,50663.46
"Technician I, Natural Areas",Natural Areas,Community Services,50594.78
"Technician I, Natural Areas",Natural Areas,Community Services,50594.7
"Coordinator, Cultural Services",Cultural Services,Community Services,50590.8
"Operator I, Transportation Ops",Streets,"Planning, Dev & Transportation",50590.8
"Operator II, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",50531
"Operator I, Transportation Ops",Streets,"Planning, Dev & Transportation",50477.1
"Sr Coordinator, Marketing",Cultural Services,Community Services,50346.4
"Worker II, Facilities",L&P Electrical Engineering,Utility Services,50335.87
Water Meter Systems Operator,Ut Water Meters Div,Utility Services,50269
Water Utility Maint Operator,Ut Drainage System Div,Utility Services,50269
Water Utility Maint Operator,Ut Distribution System Div,Utility Services,50269
Water Utility Maint Operator,Ut Collection System Div,Utility Services,50269
Water Utility Maint Operator,Ut Collection System Div,Utility Services,50269
Water Utility Maint Operator,Ut Drainage System Div,Utility Services,50269
Water Utility Maint Operator,Ut Distribution System Div,Utility Services,50269
Water Utility Maint Operator,Ut Collection System Div,Utility Services,50269
Water Utility Maint Operator,Ut Distribution System Div,Utility Services,50269
Water Utility Maint Operator,Ut Drainage System Div,Utility Services,50269
Water Utility Maint Operator,Ut Distribution System Div,Utility Services,50269
Water Utility Maint Operator,Ut Distribution System Div,Utility Services,50269
Library Assistant,Library District,Library District,50123.72
"Technician I, Parks",Parks,Community Services,50099.59
"Operator II, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",50065.25
"Coordinator, Accounts Payable",Accounting and Treasury,Financial Services,50065.09
"Specialist, Public Engagement",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",50000.08
Business Support III,Ut Water Systems Engr Div,Utility Services,50000
"Technician I, Parks",Cultural Services,Community Services,49954.88
"Technician I, Parks",Parks,Community Services,49769.5
"Technician I, Parks",Parks,Community Services,49767.83
"Technician I, Parks",Parks,Community Services,49758.28
"Officer I, Enforcement",Transfort / Parking Services,"Planning, Dev & Transportation",49755.76
"Technician I, Parks",Cultural Services,Community Services,49753.87
"Technician II, Apps Software",Information Technology,Information & Employee Svcs,49701.64
"Operator I, Transportation Ops",Streets,"Planning, Dev & Transportation",49639.09
"Coordinator, Communications",Utilities Customer Connections,Utility Services,49634
"Technician I, Fleet",Operation Services,Information & Employee Svcs,49617.04
"Technician I, Parks",Parks,Community Services,49613.2
"Technician I, Parks",Parks,Community Services,49613.2
"Rep II, Customer Support",Transfort / Parking Services,"Planning, Dev & Transportation",49503.26
Business Support III,Park Planning & Development,Community Services,49500
"Coordinator, Finance",Utility Financial Operations,Utility Services,49479.73
Business Support III,Cultural Services,Community Services,49440.16
"Technician I, Bldg Dev Review",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",49412.81
"Technician I, Bldg Dev Review",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",49412.81
Line Groundworker,L&P Electric Field Services,Utility Services,49404
Line Groundworker,L&P Electric Field Services,Utility Services,49404
Line Groundworker,L&P Electric Field Services,Utility Services,49404
Line Groundworker,L&P Electric Field Services,Utility Services,49404
Line Groundworker,L&P Electric Field Services,Utility Services,49404
Line Groundworker,L&P Electric Field Services,Utility Services,49404
Line Groundworker,L&P Electric Field Services,Utility Services,49404
Line Groundworker,L&P Electric Field Services,Utility Services,49404
Line Groundworker,L&P Electric Field Services,Utility Services,49404
"Technician II, Forestry",Parks,Community Services,49400
"Technician I, Parks",Parks,Community Services,49384.7
Business Support III,Natural Areas,Community Services,49318.36
"Technician I, Parks",Cultural Services,Community Services,49275.2
"Operator I, Transportation Ops",Streets,"Planning, Dev & Transportation",49275.2
"Coordinator, Finance",Utility Financial Operations,Utility Services,49182.87
"Operator I, Transportation Ops",Streets,"Planning, Dev & Transportation",49150.83
Business Support III,Broadband,Utility Services,49000
"Coordinator, Accounts Payable",Accounting and Treasury,Financial Services,48984.02
"Technician I, Parks",Parks,Community Services,48928.24
"Operator I, Transportation Ops",Streets,"Planning, Dev & Transportation",48920.98
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",48899.85
"Operator I, Transportation Ops",Streets,"Planning, Dev & Transportation",48796.8
"Operator I, Transportation Ops",Natural Areas,Community Services,48739.6
"Technician I, Fleet",Operation Services,Information & Employee Svcs,48733.19
Business Support II,Transfort / Parking Services,"Planning, Dev & Transportation",48690.58
"Sr Coordinator, Recreation",Recreation,Community Services,48560
"Technician I, Parks",Parks,Community Services,48557.6
Business Support II,Human Resources,Information & Employee Svcs,48555
"Coordinator, AR / Billing",Utilities Customer Connections,Utility Services,48530.72
Business Support II,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",48485.89
"Technician I, Parks",Parks,Community Services,48462.14
"Technician I, Parks",Cultural Services,Community Services,48410.21
"Technician I, Parks",Parks,Community Services,48360
Business Support III,Recreation,Community Services,48320.73
"Technician I, Parks",Parks,Community Services,48320.16
Graphic Designer,Library District,Library District,48235.2
Business Support II,Operation Services,Information & Employee Svcs,48210.25
"Technician I, Parks",Parks,Community Services,48204
"Operator I, Transportation Ops",Streets,"Planning, Dev & Transportation",48204
Business Support II,Engineering,"Planning, Dev & Transportation",48193.6
"Worker I, Transportation Ops",Streets,"Planning, Dev & Transportation",48193.56
"Technician I, Fleet",Operation Services,Information & Employee Svcs,48138.33
"Operator I, Transportation Ops",Traffic,"Planning, Dev & Transportation",48039.3
"Operator II, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",48000
"Operator II, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",48000
"Tech II, Sales Tax Audit & Rev",Sales Tax,Financial Services,47999.9
"Coordinator, AR / Billing",Utilities Customer Connections,Utility Services,47955.25
"Operator I, Transportation Ops",Streets,"Planning, Dev & Transportation",47904.06
"Technician I, Parks",Parks,Community Services,47894.86
"Worker I, Facilities",L&P Electrical Engineering,Utility Services,47889.03
"Technician I, Customer Support",L&P Electrical Engineering,Utility Services,47888.8
Deputy Court Clerk II,Municipal Court,Judicial Services,47843.13
"Sr Coordinator, Forestry",Parks,Community Services,47840
"Coordinator, AR / Billing",Utilities Customer Connections,Utility Services,47672.33
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",47597.99
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",47597.92
"Operator I, Transportation Ops",Streets,"Planning, Dev & Transportation",47580
"Coordinator, AR / Billing",Utilities Customer Connections,Utility Services,47517.54
"Technician II, Forestry",Parks,Community Services,47500
"Technician I, Parks",Parks,Community Services,47467.86
Water Meter Systems Operator,Ut Water Meters Div,Utility Services,47420
Water Utility Maint Operator,Ut Drainage System Div,Utility Services,47420
Water Utility Maint Operator,Ut Drainage System Div,Utility Services,47420
Water Utility Maint Operator,Ut Distribution System Div,Utility Services,47420
Water Utility Maint Operator,Ut Distribution System Div,Utility Services,47420
"Technician I, Parks",Parks,Community Services,47415.53
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",47403.28
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",47340.35
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",47266.98
"Operator I, Transportation Ops",Traffic,"Planning, Dev & Transportation",47251.59
Business Support III,L&P Administration,Utility Services,47247.2
Business Support II,Transfort / Parking Services,"Planning, Dev & Transportation",47244.29
"Operator I, Transportation Ops",Streets,"Planning, Dev & Transportation",47182.05
Business Support II,Safety & Risk Management,Financial Services,47158.24
"Technician I, Forestry",Parks,Community Services,47079.76
"Operator I, Transportation Ops",Streets,"Planning, Dev & Transportation",46993.44
"Sr Specialist, Sciences",Ut Enviro Regulatory Affairs,Utility Services,46982.56
"Operator I, Transportation Ops",Streets,"Planning, Dev & Transportation",46841.94
Facility Maintenance Tech,Library District,Library District,46836.61
Probation Officer,Municipal Court,Judicial Services,46800
"Operator I, Transportation Ops",Streets,"Planning, Dev & Transportation",46800
"Operator I, Transportation Ops",Streets,"Planning, Dev & Transportation",46800
"Technician II, Network Engr",Broadband,Utility Services,46800
Business Support II,Transfort / Parking Services,"Planning, Dev & Transportation",46790.02
"Coordinator, Project Mgmt",City Manager's Office,Executive Services,46750.08
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",46707
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",46599.13
"Officer I, Enforcement",Transfort / Parking Services,"Planning, Dev & Transportation",46571.48
"Operator I, Transportation Ops",Traffic,"Planning, Dev & Transportation",46562.88
"Rep II, Customer Support",Broadband,Utility Services,46552.22
"Worker II, Facilities",Operation Services,Information & Employee Svcs,46472.57
"Technician I, Forestry",Parks,Community Services,46446.4
"Worker I, Facilities",L&P Electrical Engineering,Utility Services,46435.59
Administrative Secretary II,Poudre Fire Authority,Poudre Fire Authority,46395.96
"Operator I, Transportation Ops",Streets,"Planning, Dev & Transportation",46330.53
Business Support II,City Manager's Office,Executive Services,46158.45
"Technician I, Parks",Parks,Community Services,46061.6
"Coordinator, AR / Billing",Utilities Customer Connections,Utility Services,46057.7
"Sr Supervisor, Neighbrhood Svc",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",46022.6
"Coordinator, AR / Billing",Utilities Customer Connections,Utility Services,46010.18
"Sr Rep, Cultural Svcs",Cultural Services,Community Services,46000
"Operator I, Transportation Ops",Streets,"Planning, Dev & Transportation",45760
"Technician I, Facilities",Transfort / Parking Services,"Planning, Dev & Transportation",45760
"Rep II, Customer Support",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",45712.89
"Rep II, Customer Support",Transfort / Parking Services,"Planning, Dev & Transportation",45692.75
"Operator I, Transportation Ops",Streets,"Planning, Dev & Transportation",45675.97
"Technician I, Parks",Parks,Community Services,45671.38
"Technician I, Parks",Parks,Community Services,45671.38
"Officer I, Enforcement",Transfort / Parking Services,"Planning, Dev & Transportation",45531.62
"Technician I, Parks",Parks,Community Services,45520.64
"Coordinator, Cultural Services",Cultural Services,Community Services,45500
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",45465.72
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",45465.68
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",45464.66
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",45464.66
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",45464.66
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",45464.66
"Operator I, Transportation Ops",Traffic,"Planning, Dev & Transportation",45427.2
"Technician I, Parks",Parks,Community Services,45390.8
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",45355.1
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",45346.84
Business Support I,Parks,Community Services,45321.95
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",45126.38
Business Support III,Accounting and Treasury,Financial Services,45052.71
"Technician I, Customer Support",L&P Electrical Engineering,Utility Services,45010.59
"Coordinator, Public Engagement",Recreation,Community Services,45000.02
"Rep II, Police Records",Police Information Services,Police Services,45000.02
"Rep II, Police Records",Police Information Services,Police Services,45000.02
"Rep II, Police Records",Police Information Services,Police Services,45000.02
"Technician I, Parks",Parks,Community Services,45000
"Technician I, Parks",Parks,Community Services,45000
"Technician I, Parks",Parks,Community Services,45000
"Coordinator, AR / Billing",Utilities Customer Connections,Utility Services,44813
"Technician I, Parks",Parks,Community Services,44720
"Technician I, Parks",Parks,Community Services,44720
"Technician II, Network Engr",Broadband,Utility Services,44640
"Technician II, Network Engr",Broadband,Utility Services,44640
"Technician II, Network Engr",Broadband,Utility Services,44640
"Technician II, Network Engr",Broadband,Utility Services,44640
"Technician II, Network Engr",Broadband,Utility Services,44640
"Technician II, Network Engr",Broadband,Utility Services,44640
"Technician II, Network Engr",Broadband,Utility Services,44640
Administrative Secretary II,Poudre Fire Authority,Poudre Fire Authority,44579.08
"Rep II, Customer Support",Transfort / Parking Services,"Planning, Dev & Transportation",44523.05
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",44464.44
"Technician I, Parks",Parks,Community Services,44455
"Technician I, Parks",Parks,Community Services,44453.5
"Technician I, Parks",Parks,Community Services,44445
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",44356.78
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",44356.78
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",44356.52
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",44356.52
